,Team,ID,Batting_Games,At_Bats,Batting_Runs,Batting_Hits,Doubles,Triples,Batting_Home_Runs,Runs_Batted_In,Batting_Bases_On_Balls,Batting_Strike_Outs,Stolen_Bases,Caught_Stealing,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging,Pitching_Games,Pitching_Games_Started,Wins,Losses,Saves,Blown_Saves,Holds,Complete_Games,Shutouts,Innings_Pitched,Pitching_Hits,Pitching_Runs,Earned_Runs,Pitching_Home_Runs,Pitching_Bases_On_Balls,Pitching_Strikeouts,Earned_Runs_Average,Walks_Plus_Hits_Per_Inning_Pitched,Batting_Average_Against,Fielding_Games,Position,Fielding_Games_Started,Innings,Putouts,Total_Chance,Assists,Errors,Double_Plays,Fielding
909,sdg,10081.0,11,10,0,1,0,0,0,0,0,1,0,0,.100,.100,.100,.200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,C,1,17,18,18,0,0,0,1.000
910,sdg,8099.0,182,313,21,40,11,1,1,18,32,152,0,0,.128,.210,.179,.389,206,204,75,68,0,0,1,2,1,1234.2,1163,592,546,153,412,1140,3.98,1.28,.249,206,P,204,1234,69,195,121,5,8,.974
911,sdg,8627.0,184,158,12,25,2,1,1,6,4,68,2,0,.158,.179,.203,.382,174,82,26,42,0,5,24,3,3,594.1,561,277,237,52,195,496,3.59,1.27,.250,175,P,82,594,31,146,112,3,10,.979
912,sdg,6968.0,427,1164,88,281,54,2,10,114,61,228,3,2,.241,.280,.317,.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376,C,308,2793,2191,2386,167,28,20,.988
913,sdg,9713.0,46,54,0,2,1,0,0,0,2,21,0,0,.037,.071,.056,.127,50,34,9,16,0,0,0,0,0,222.0,227,126,117,23,64,134,4.74,1.31,.266,50,P,34,222,12,62,47,3,0,.952
914,sdg,8002.0,16,23,0,0,0,0,0,0,1,14,0,0,.000,.042,.000,.042,236,113,44,43,16,6,23,4,4,768.2,687,387,360,84,347,788,4.22,1.35,.239,236,P,113,768,31,87,52,4,5,.954
915,sdg,8622.0,54,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,355,0,19,12,225,23,2,0,0,348.1,193,70,63,18,130,563,1.63,0.93,.158,355,P,0,348,15,42,25,2,1,.952
916,sdg,8867.0,10,12,0,2,0,0,0,0,0,4,0,0,.167,.167,.167,.333,9,8,2,5,0,0,0,0,0,40.1,58,36,30,6,13,33,6.69,1.76,.335,9,P,8,40,2,10,8,0,1,1.000
917,sdg,9379.0,25,39,0,3,0,0,0,2,2,12,0,0,.077,.122,.077,.199,27,23,8,10,0,0,0,0,0,133.0,140,69,68,13,32,96,4.60,1.29,.273,27,P,23,133,4,17,12,1,0,.941
918,sdg,10089.0,8,11,0,0,0,0,0,1,0,5,0,0,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1B,1,10,5,7,2,0,1,1.000
919,sfo,9776.0,21,49,11,17,2,0,6,14,5,21,1,1,.347,.407,.755,1.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,LF,12,114,19,19,0,0,0,1.000
920,sfo,8578.0,753,2739,361,850,157,6,102,447,280,376,8,5,.310,.375,.484,.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735,C,706,6103,5433,5850,381,36,129,.994
921,sfo,9742.0,173,651,90,201,37,4,9,55,54,75,3,2,.309,.364,.419,.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,2B,161,1422,322,785,453,10,117,.987
922,sfo,10043.0,54,178,23,54,6,3,2,20,14,40,5,4,.303,.358,.404,.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,2B,46,396,82,216,130,4,30,.981
923,sfo,9775.0,183,633,82,185,30,6,12,85,31,110,12,1,.292,.331,.415,.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,2B,148,1338,115,433,302,16,34,.963
924,sfo,7937.0,796,2275,304,596,91,29,20,192,291,493,95,34,.262,.347,.354,.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769,LF,553,5218,1199,1237,28,10,3,.992
925,sfo,9094.0,531,1963,266,563,91,16,24,156,171,169,81,33,.287,.353,.386,.740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502,LF,468,4077,869,903,26,8,3,.991
926,sfo,9428.0,117,228,26,51,15,0,2,13,12,52,3,1,.224,.267,.316,.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,LF,53,570,145,158,11,2,2,.987
927,sfo,8795.0,556,1813,247,492,113,16,63,236,200,499,32,10,.271,.347,.456,.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543,1B,474,4257,3809,4139,301,29,332,.993
928,sfo,7963.0,1270,4959,702,1406,260,46,194,729,397,995,106,49,.284,.337,.472,.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264,CF,1255,11122,2651,2781,84,46,14,.983
929,sfo,6863.0,1539,5464,729,1503,305,39,154,691,371,1196,56,31,.275,.329,.430,.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520,CF,1382,12323,3182,3297,72,43,22,.987
930,sfo,7996.0,680,2279,328,609,120,30,45,224,196,539,86,41,.267,.331,.405,.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692,LF,568,5134,1344,1387,24,19,4,.986
931,sfo,7717.0,995,3589,513,1006,196,50,52,359,277,572,161,47,.280,.330,.406,.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949,LF,857,7570,2051,2123,39,33,9,.984
932,sfo,8945.0,654,2128,237,523,108,22,47,262,196,470,14,16,.246,.313,.383,.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640,SS,592,5307,830,2708,1804,74,352,.973
933,sfo,8590.0,182,367,33,67,10,0,11,40,18,141,0,0,.183,.222,.300,.521,183,180,85,58,0,0,0,10,5,1171.0,1033,433,395,105,268,1130,3.04,1.11,.236,183,P,180,1171,37,198,149,12,4,.939
934,sfo,10091.0,13,39,1,9,3,0,0,5,3,8,1,1,.231,.279,.308,.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,C,12,108,77,85,7,1,0,.988
